"","speccode","english_name","scientific_name","taxonomic_rank","P.1","P.2","P.3","lat_mean.P.1","distrib.core","scientific_name_ET","PassNonPass","IOCOrder","Taxo","english_name_ET","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","migrate.strategy.3","migrate.strategy.4","migrate.distance"
"13",64,"Wigeon","Mareca penelope","Species",283,360,358,56.1726953066462,"north","Anas penelope","Nonpasseriformes","Anseriformes","BL3","Eurasian Wigeon",0,0,0,0,0,0,0,0,20,80,"PlantSeed","Ref_1","A","Jennifer",0,50,50,0,0,0,0,0,"Ref_1",1,"Jessica",0,770.03,"Dunning08",1,"","","strict_mig","long",4201.36189098211
"14",66,"Gadwall","Mareca strepera","Species",158,357,713,53.0740883353469,"south","Anas strepera","Nonpasseriformes","Anseriformes","BL3","Gadwall",0,0,0,0,0,0,0,0,30,70,"PlantSeed","Ref_1","A","Jennifer",0,80,20,0,0,0,0,0,"Ref_1",1,"Jessica",0,915.58,"Dunning08",1,"","","partial_mig","variable",1907.45612480075
"15",68,"Teal","Anas crecca","Species",1376,1147,1187,54.6693976985636,"north","Anas crecca","Nonpasseriformes","Anseriformes","BL3","Common Teal",30,0,0,0,0,0,0,0,20,50,"PlantSeed","Ref_1","A","Jennifer",0,100,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,341.89,"Dunning08",1,"","","partial_mig","long",3765.05021200495
"16",69,"Mallard","Anas platyrhynchos","Species",2630,2596,2663,54.1242685551167,"south","Anas platyrhynchos","Nonpasseriformes","Anseriformes","BL3","Mallard",40,0,10,10,0,0,0,0,20,20,"Omnivore","Ref_1","A","Jennifer",20,60,20,0,0,0,0,0,"Ref_1",1,"Jessica",0,843.42,"Dunning08",1,"","","partial_mig","variable",1957.5314288915
"17",71,"Pintail","Anas acuta","Species",86,85,66,55.1871759555132,"north","Anas acuta","Nonpasseriformes","Anseriformes","BL3","Northern Pintail",20,0,0,0,10,0,0,0,20,50,"PlantSeed","Ref_1","A","Jennifer",0,70,30,0,0,0,0,0,"Ref_1",1,"Jessica",0,944.62,"Dunning08",1,"","","strict_mig","long",3127.76565604175
"18",72,"Garganey","Spatula querquedula","Species",136,138,199,52.3938569241278,"south","Anas querquedula","Nonpasseriformes","Anseriformes","BL3","Garganey",40,0,10,10,0,0,0,0,10,30,"Omnivore","Ref_1","A","Jennifer",100,0,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,325.6,"Dunning08",1,"","","strict_mig","long",4227.1056502153
"19",74,"Shoveler","Spatula clypeata","Species",520,454,511,53.5764871979807,"south","Anas clypeata","Nonpasseriformes","Anseriformes","BL3","Northern Shoveler",60,0,0,0,0,0,0,0,20,20,"Invertebrate","Ref_1","A","Jennifer",20,80,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,612.56,"Dunning08",1,"","","strict_mig","long",2829.69546062312
"20",76,"Pochard","Aythya ferina","Species",512,511,318,53.3936220033012,"south","Aythya ferina","Nonpasseriformes","Anseriformes","BL3","Common Pochard",10,0,10,10,0,0,0,0,20,50,"PlantSeed","Ref_1","A","Jennifer",50,50,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,822.99,"Dunning08",1,"","","partial_mig","variable",2949.90053465761
"21",79,"Tufted Duck","Aythya fuligula","Species",1290,1484,1714,53.8918635837725,"south","Aythya fuligula","Nonpasseriformes","Anseriformes","BL3","Tufted Duck",50,0,0,0,0,10,0,0,20,20,"Omnivore","Ref_1","A","Jennifer",60,40,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,701.17,"Dunning08",1,"","","partial_mig","variable",3272.94682711458
"22",81,"Eider","Somateria mollissima","Species",460,488,465,57.3336457365714,"north","Somateria mollissima","Nonpasseriformes","Anseriformes","BL3","Common Eider",70,0,0,10,0,0,10,0,0,10,"Invertebrate","Ref_1","A","Jennifer",80,20,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,2060.93,"Dunning08",1,"","","strict_mig","variable",1074.19291031255
"23",94,"Red-breasted Merganser","Mergus serrator","Species",666,674,536,56.7487400950022,"north","Mergus serrator","Nonpasseriformes","Anseriformes","BL3","Red-breasted Merganser",20,0,0,70,0,0,0,0,0,10,"VertFishScav","Ref_1","A","Jennifer",80,20,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,1015.17,"Dunning08",1,"","","strict_mig","long",2273.32536400558
"24",95,"Goosander","Mergus merganser","Species",411,674,870,56.2777404191514,"north","Mergus merganser","Nonpasseriformes","Anseriformes","BL3","Common Merganser",10,10,10,70,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",80,20,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,1451.02,"Dunning08",1,"","","partial_mig","variable",1930.77314840174
"25",105,"Hen Harrier","Circus cyaneus","Species",373,498,481,56.3647888926848,"north","Circus cyaneus","Nonpasseriformes","Accipitriformes","BL3","Northern Harrier",10,70,10,0,0,10,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,392.98,"Dunning08",1,"","","partial_mig","variable",2791.02825856589
"26",109,"Sparrowhawk","Accipiter nisus","Species",1823,2178,2342,53.7269960663955,"south","Accipiter nisus","Nonpasseriformes","Accipitriformes","BL3","Eurasian Sparrowhawk",0,100,0,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,20,20,20,20,20,0,"Ref_2",1,"Jessica",0,220.79,"Dunning08",1,"","","partial_mig","variable",2989.56519493249
"27",110,"Buzzard","Buteo buteo","Species",1426,1544,2573,54.3721927515634,"north","Buteo buteo","Nonpasseriformes","Accipitriformes","BL3","Common Buzzard",0,90,10,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,759.1,"Dunning08",1,"","","partial_mig","long",2156.04994535139
"28",113,"Golden Eagle","Aquila chrysaetos","Species",375,398,401,57.1096957799509,"north","Aquila chrysaetos","Nonpasseriformes","Accipitriformes","BL3","Golden Eagle",0,80,10,0,0,10,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,4247.97,"Dunning08",1,"","","partial_mig","variable",1626.20356579046
"29",116,"Kestrel","Falco tinnunculus","Species",2590,2480,2451,53.9333548804927,"south","Falco tinnunculus","Nonpasseriformes","Falconiformes","BL3","Common Kestrel",10,90,0,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,80,10,10,0,0,0,"Ref_2",1,"Jessica",0,183.21,"Dunning08",1,"","","partial_mig","variable",3093.09348548867
"30",119,"Merlin","Falco columbarius","Species",598,693,663,55.5846756639767,"north","Falco columbarius","Nonpasseriformes","Falconiformes","BL3","Merlin",20,80,0,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,0,33,33,0,33,0,"Ref_2",1,"Jessica",0,188.5,"Dunning08",1,"","","partial_mig","long",2282.94992836866
"31",120,"Hobby","Falco subbuteo","Species",259,625,1033,51.5053919200905,"south","Falco subbuteo","Nonpasseriformes","Falconiformes","BL3","Eurasian Hobby",70,30,0,0,0,0,0,0,0,0,"Invertebrate","Ref_2","A","Jennifer",0,0,0,33,33,0,33,0,"Ref_2",1,"Jessica",0,208.17,"Dunning08",1,"","","strict_mig","long",5599.00039022956
"32",124,"Peregrine","Falco peregrinus","Species",515,1048,1457,56.2931303024577,"north","Falco peregrinus","Nonpasseriformes","Falconiformes","BL3","Peregrine Falcon",10,80,10,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,20,20,20,20,20,0,"Ref_2",1,"Other",0,759.95,"Dunning08",1,"","","partial_mig","long",3708.45559229388
"33",125,"Red Grouse","Lagopus lagopus","Species",1082,945,848,55.8697829039096,"north","Lagopus lagopus","Nonpasseriformes","Galliformes","BL3","Willow Ptarmigan",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,566.86,"Dunning08",1,"","","partial_mig","short",1214.71783844824
"34",126,"Ptarmigan","Lagopus muta","Species",195,173,175,57.1527273456942,"north","Lagopus muta","Nonpasseriformes","Galliformes","BL3","Rock Ptarmigan",0,0,0,0,0,0,20,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_2",1,"Jessica",0,535.3,"Dunning08",1,"","","partial_mig","short",1777.63433410201
"35",127,"Black Grouse","Lyrurus tetrix","Species",603,432,433,55.5336153913089,"north","Tetrao tetrix","Nonpasseriformes","Galliformes","BL3","Black Grouse",10,0,0,0,0,0,10,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1068.66,"Dunning08",1,"","","resident","resident",0
"36",128,"Capercaillie","Tetrao urogallus","Species",182,66,51,56.9651263719619,"north","Tetrao urogallus","Nonpasseriformes","Galliformes","BL3","Western Capercaillie",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,2716.61,"Dunning08",1,"","","resident","resident",0
"37",130,"Red-legged Partridge","Alectoris rufa","Species",919,1214,1638,52.3891371911515,"south","Alectoris rufa","Nonpasseriformes","Galliformes","BL3","Red-legged Partridge",10,0,0,0,0,0,10,0,20,60,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,527.86,"Dunning08",1,"","","resident","resident",0
"38",131,"Grey Partridge","Perdix perdix","Species",2005,1629,1230,53.4346320788553,"south","Perdix perdix","Nonpasseriformes","Galliformes","BL3","Grey Partridge",30,0,0,0,0,0,0,0,30,40,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,405.3,"Dunning08",1,"","","resident","resident",0
"39",132,"Quail","Coturnix coturnix","Species",405,804,867,52.357300099965,"south","Coturnix coturnix","Nonpasseriformes","Galliformes","BL3","Common Quail",20,0,0,0,0,0,0,0,80,0,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,96.28,"Dunning08",1,"","","partial_mig","variable",3511.6461072144
"40",133,"Pheasant","Phasianus colchicus","Species",2250,2269,2379,53.5575727928632,"south","Phasianus colchicus","Nonpasseriformes","Galliformes","BL3","Common Pheasant",10,0,0,0,0,0,30,0,30,30,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1120.31,"Dunning08",1,"","","resident","resident",0
"41",136,"Water Rail","Rallus aquaticus","Species",633,420,678,52.8477857518409,"south","Rallus aquaticus","Nonpasseriformes","Gruiformes","BL3","Water Rail",20,20,10,10,0,0,10,0,10,20,"Omnivore","Ref_3","A","Carolina",10,40,40,10,0,0,0,0,"Ref_3",1,"Other",0,110.67,"Dunning08",1,"","","partial_mig","variable",1768.64460304583
"42",141,"Corncrake","Crex crex","Species",660,161,184,55.3008192002369,"north","Crex crex","Nonpasseriformes","Gruiformes","BL3","Corncrake",30,20,10,0,0,0,0,0,20,20,"Omnivore","Ref_3","A","Carolina",0,0,70,30,0,0,0,0,"Ref_3",1,"Jessica",0,154.91,"Dunning08",1,"","","strict_mig","long",7298.36403247875
"43",142,"Moorhen","Gallinula chloropus","Species",2240,2032,2067,53.5531233643734,"south","Gallinula chloropus","Nonpasseriformes","Gruiformes","BL3","Common Moorhen",20,0,10,10,0,0,20,0,20,20,"Omnivore","Ref_3","A","Carolina",0,20,60,20,0,0,0,0,"Ref_3",1,"Jessica",0,339.63,"Dunning08",1,"","","partial_mig","variable",3059.93653851313
"44",145,"Coot","Fulica atra","Species",1690,1603,1625,53.3820536837313,"south","Fulica atra","Nonpasseriformes","Gruiformes","BL3","Common Coot",10,10,10,10,0,0,0,0,30,30,"PlantSeed","Ref_3","A","Carolina",50,50,0,0,0,0,0,0,"Ref_3",1,"Jessica",0,717.12,"Dunning08",1,"","","partial_mig","variable",3087.85245513514
"45",152,"Oystercatcher","Haematopus ostralegus","Species",1532,1702,1961,55.7140982923653,"north","Haematopus ostralegus","Nonpasseriformes","Charadriiformes","BL3","Eurasian Oystercatcher",90,0,0,10,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,40,60,0,0,0,0,0,"Ref_3",1,"Morgane; Walter",0,526,"Dunning08",1,"","","strict_mig","long",3170.20987501215
"46",155,"Stone-curlew","Burhinus oedicnemus","Species",93,54,50,51.7509303873884,"south","Burhinus oedicnemus","Nonpasseriformes","Charadriiformes","BL3","Eurasian Thick-knee",50,20,20,0,0,0,0,0,10,0,"Omnivore","Ref_3","A","Carolina",0,0,80,20,0,0,0,0,"Ref_3",1,"Jessica",0,459,"Dunning08",1,"","","partial_mig","variable",2598.73896738134
"47",159,"Little Ringed Plover","Charadrius dubius","Species",288,420,597,52.7428286013354,"south","Charadrius dubius","Nonpasseriformes","Charadriiformes","BL3","Little Ringed Plover",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,20,80,0,0,0,0,0,"Ref_3",1,"Jessica",0,38.7,"Dunning08",1,"","","partial_mig","long",3864.70054398555
"48",160,"Ringed Plover","Charadrius hiaticula","Species",916,1025,956,55.5993832982707,"north","Charadrius hiaticula","Nonpasseriformes","Charadriiformes","BL3","Common Ringed Plover",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,0,100,0,0,0,0,0,"Ref_3",1,"Jessica",0,64.04,"Dunning08",1,"","","strict_mig","long",6201.34722081075
"49",167,"Golden Plover","Pluvialis apricaria","Species",849,784,682,56.4650618151703,"north","Pluvialis apricaria","Nonpasseriformes","Charadriiformes","BL3","Eurasian Golden Plover",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_3","A","Carolina",0,0,100,0,0,0,0,0,"Ref_3",1,"Jessica",0,214,"Dunning08",1,"","","strict_mig","long",2176.49794398796
"50",171,"Lapwing","Vanellus vanellus","Species",2573,2340,2126,54.1901765634063,"south","Vanellus vanellus","Nonpasseriformes","Charadriiformes","BL3","Northern Lapwing",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,0,100,0,0,0,0,0,"Ref_3",1,"Jessica",0,218.37,"Dunning08",1,"","","partial_mig","variable",2365.38036034995
"51",186,"Dunlin","Calidris alpina","Species",472,569,422,56.527186159232,"north","Calidris alpina","Nonpasseriformes","Charadriiformes","BL3","Dunlin",80,0,0,0,0,0,0,0,0,20,"Invertebrate","Ref_3","A","Carolina",0,20,80,0,0,0,0,0,"Ref_3",1,"Jessica",0,51.89,"Dunning08",1,"","","strict_mig","long",3558.13234371812
"52",192,"Snipe","Gallinago gallinago","Species",2231,1806,1542,54.5291404678588,"north","Gallinago gallinago","Nonpasseriformes","Charadriiformes","BL3","Common Snipe",80,0,0,0,0,0,0,0,10,10,"Invertebrate","Ref_3","A","Carolina",0,20,80,0,0,0,0,0,"Ref_3",1,"Jessica",0,112.94,"Dunning08",1,"","","partial_mig","long",4061.77670841514
"53",196,"Woodcock","Scolopax rusticola","Species",1693,1204,852,54.2032166851726,"south","Scolopax rusticola","Nonpasseriformes","Charadriiformes","BL3","Eurasian Woodcock",70,0,0,0,0,0,10,0,10,10,"Invertebrate","Ref_3","A","Carolina",0,20,80,0,0,0,0,0,"Ref_3",1,"Jessica",0,308.31,"Dunning08",1,"","","partial_mig","long",2761.27397433335
"54",203,"Curlew","Numenius arquata","Species",1947,1893,1624,54.8587267623905,"north","Numenius arquata","Nonpasseriformes","Charadriiformes","BL3","Eurasian Curlew",40,0,0,0,0,0,30,0,30,0,"Omnivore","Ref_3","A","Carolina",0,20,80,0,0,0,0,0,"Ref_3",1,"Jessica",0,802.99,"Dunning08",1,"","","strict_mig","long",3973.21630845498
"55",206,"Redshank","Tringa totanus","Species",1672,1473,961,54.7581167157467,"north","Tringa totanus","Nonpasseriformes","Charadriiformes","BL3","Common Redshank",80,0,10,10,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,80,20,0,0,0,0,0,"Ref_3",1,"Jessica",0,129,"Dunning08",1,"","","partial_mig","long",2956.79654127714
"56",208,"Greenshank","Tringa nebularia","Species",253,243,257,57.5773249095183,"north","Tringa nebularia","Nonpasseriformes","Charadriiformes","BL3","Common Greenshank",80,10,0,10,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,60,40,0,0,0,0,0,"Ref_3",1,"Jessica",0,187,"Dunning08",1,"","","strict_mig","long",5392.47586512144
"57",215,"Common Sandpiper","Actitis hypoleucos","Species",1406,1424,1211,55.4837974085979,"north","Actitis hypoleucos","Nonpasseriformes","Charadriiformes","BL3","Common Sandpiper",50,0,20,20,0,0,0,0,0,10,"Omnivore","Ref_3","A","Carolina",0,50,50,0,0,0,0,0,"Ref_3",1,"Jessica",0,48,"Dunning08",1,"","","strict_mig","long",4825.59460284028
"58",222,"Arctic Skua","Stercorarius parasiticus","Species",138,166,119,58.7271408479515,"north","Stercorarius parasiticus","Nonpasseriformes","Charadriiformes","BL3","Parasitic Jaeger",20,30,0,30,0,0,20,0,0,0,"VertFishScav","Ref_3","A","Carolina",0,0,100,0,0,0,0,0,"Ref_3",1,"Jessica",0,444.31,"Dunning08",1,"","","strict_mig","long",10873.5970421705
"59",224,"Great Skua","Stercorarius skua","Species",85,141,160,59.4752748445329,"north","Catharacta skua","Nonpasseriformes","Charadriiformes","BL3","Great Skua",0,20,0,60,0,20,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",0,80,20,0,0,0,0,1,"Ref_3",1,"Other",0,1338.22,"Dunning08",1,"","","strict_mig","variable",1483.59667786618
"60",232,"Black-headed Gull","Chroicocephalus ridibundus","Species",1272,1913,999,55.3866067537948,"north","Larus ridibundus","Nonpasseriformes","Charadriiformes","BL3","Black-headed Gull",70,0,0,20,0,0,0,0,10,0,"Invertebrate","Ref_3","A","Carolina",0,50,50,0,0,0,0,0,"Ref_3",1,"Jessica",0,284,"Dunning08",1,"","","strict_mig","variable",3196.214288959
"61",235,"Common Gull","Larus canus","Species",849,1258,759,57.0580722872428,"north","Larus canus","Nonpasseriformes","Charadriiformes","BL3","Mew Gull",40,0,0,40,0,10,0,0,0,10,"Omnivore","Ref_3","A","Jennifer",20,40,40,0,0,0,0,1,"Ref_3",1,"Other",0,412.53,"Dunning08",1,"","","strict_mig","variable",1707.78086486631
"62",236,"Lesser Black-backed Gull","Larus fuscus","Species",673,1441,968,55.9393316689512,"north","Larus fuscus","Nonpasseriformes","Charadriiformes","BL3","Lesser Black-backed Gull",30,20,0,30,0,10,10,0,0,0,"VertFishScav","Ref_3","A","Carolina",40,30,30,0,0,0,0,0,"Ref_3",1,"Other",0,762.36,"Dunning08",1,"","","strict_mig","long",3809.4755135814
"63",237,"Herring Gull","Larus argentatus","Species",875,1544,1194,55.5446715333687,"north","Larus argentatus","Nonpasseriformes","Charadriiformes","BL3","Herring Gull",30,10,0,40,0,20,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",20,40,40,0,0,0,0,1,"Ref_3",1,"Other",0,1090.99,"Dunning08",1,"","","partial_mig","variable",818.489309550703
"64",240,"Great Black-backed Gull","Larus marinus","Species",632,1035,662,56.0678430070232,"north","Larus marinus","Nonpasseriformes","Charadriiformes","BL3","Great Black-backed Gull",20,20,0,0,0,20,20,0,20,0,"Omnivore","Ref_3","A","Carolina",0,20,80,0,0,0,0,1,"Ref_3",1,"Jessica",0,1649.71,"Dunning08",1,"","","partial_mig","variable",682.195125442616
"65",242,"Kittiwake","Rissa tridactyla","Species",288,349,235,56.404548805154,"north","Rissa tridactyla","Nonpasseriformes","Charadriiformes","BL3","Black-legged Kittiwake",30,20,0,30,0,0,0,0,10,10,"Omnivore","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,415.99,"Dunning08",1,"","","strict_mig","long",1975.41713681862
"66",248,"Sandwich Tern","Thalasseus sandvicensis","Species",110,223,66,55.6095394867902,"north","Sterna sandvicensis","Nonpasseriformes","Charadriiformes","BL3","Sandwich Tern",10,0,0,90,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",70,20,10,0,0,0,0,1,"Ref_3",1,"Other",0,199.83,"Dunning08",1,"","","partial_mig","long",2831.84223738515
"67",250,"Common Tern","Sterna hirundo","Species",630,761,635,55.7910036577342,"north","Sterna hirundo","Nonpasseriformes","Charadriiformes","BL3","Common Tern",10,0,0,80,0,10,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",80,20,0,0,0,0,0,0,"Ref_3",1,"Jessica",0,129.15,"Dunning08",1,"","","strict_mig","long",5323.8800760243
"68",251,"Arctic Tern","Sterna paradisaea","Species",418,386,283,57.2027626466387,"north","Sterna paradisaea","Nonpasseriformes","Charadriiformes","BL3","Arctic Tern",10,0,0,80,0,10,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",40,60,0,0,0,0,0,0,"Ref_3",1,"Other",0,110,"Dunning08",1,"","","strict_mig","long",14275.5260197575
"69",256,"Little Tern","Sternula albifrons","Species",166,157,102,54.1501284513264,"south","Sterna albifrons","Nonpasseriformes","Charadriiformes","BL3","Little Tern",40,0,0,60,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,57,"Dunning08",1,"","","partial_mig","long",4177.79336148269
"70",260,"Guillemot","Uria aalge","Species",291,317,222,56.3686609617606,"north","Uria aalge","Nonpasseriformes","Charadriiformes","BL3","Common Guillemot",10,0,0,90,0,0,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",100,0,0,0,0,0,0,1,"Ref_3",1,"Jessica",0,991.93,"Dunning08",1,"","","strict_mig","variable",1253.51648603149
